school,admarea,district,ege_good,ege_bad,oge_score
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 554»,Юго-Западный административный округ,район Зюзино,25,63,72
Общеобразовательная автономная некоммерческая организация школа «Ника»,Юго-Западный административный округ,район Зюзино,19,34,59
Негосударственное образовательное частное учреждение «Средняя общеобразовательная школа «Феникс»,Юго-Западный административный округ,район Черёмушки,8,17,6
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2007 ФМШ»,Юго-Западный административный округ,район Южное Бутово,76,83,105
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1355»,Юго-Западный административный округ,район Южное Бутово,29,55,117
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 508»,Южный административный округ,район Бирюлёво Восточное,26,58,114
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1579»,Южный административный округ,район Москворечье-Сабурово,45,77,102
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2016»,Южный административный округ,Нагорный район,16,35,46
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 979»,Южный административный округ,район Орехово-Борисово Южное,6,16,46
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 904»,Южный административный округ,район Царицыно,25,57,60
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1476»,Восточный административный округ,район Ивановское,10,26,31
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2094»,Восточный административный округ,район Восточное Измайлово,9,51,75
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 429 «Соколиная гора»,Восточный административный округ,район Соколиная Гора,36,101,133
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 710 им. Народного учителя СССР В.К. Жудова»,Западный административный округ,район Дорогомилово,112,206,18
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1293»,Западный административный округ,район Кунцево,49,75,155
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1000»,Западный административный округ,район Солнцево,19,46,55
Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования «Школа здоровья» № 1679»,Северный административный округ,район Коптево,6,31,44
Государственное бюджетное учреждение средняя общеобразовательная школа с дополнительным образованием города Москвы «Класс-центр»,Северный административный округ,район Коптево,5,9,26
Негосударственное общеобразовательное частное учреждение «ГИМНАЗИЯ СВЕТ»,Северный административный округ,Савёловский район,2,3,12
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1288 имени Героя Советского Союза Н.В. Троян»,Северный административный округ,Хорошёвский район,74,124,148
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1095»,Северо-Восточный административный округ,Бабушкинский район,27,71,108
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1430 имени Героя Социалистического Труда Г.В. Кисунько»,Северо-Восточный административный округ,район Лианозово,19,55,85
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Первый Московский Образовательный Комплекс»,Северо-Восточный административный округ,район Северное Медведково,19,61,108
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 760 имени А.П. Маресьева»,Северо-Восточный административный округ,Ярославский район,16,59,99
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1190»,Северо-Западный административный округ,район Митино,12,21,25
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 827»,Северо-Западный административный округ,район Северное Тушино,41,78,116
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1284»,Центральный административный округ,Красносельский район,49,70,84
Общеобразовательная организация частное учреждение «Московский лицей «Ступени»,Центральный административный округ,Красносельский район,4,6,9
Частное общеобразовательное учреждение «Школа при Алексеевском монастыре»,Центральный административный округ,Красносельский район,0,3,5
Государственное бюджетное общеобразовательное учреждение города Москвы «Открытая (сменная) школа № 88»,Центральный административный округ,Таганский район,41,102,28
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1935»,Юго-Восточный административный округ,район Выхино-Жулебино,18,39,53
Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский педагогический государственный университет « (Лицей гуманитарных технологий Московского педагогического государственного университета),Юго-Восточный административный округ,район Кузьминки,13,25,24
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1186 имени Мусы Джалиля»,Юго-Восточный административный округ,район Люблино,2,9,13
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1394 «На набережной»,Юго-Восточный административный округ,район Марьино,17,36,66
Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей «Вторая школа»,Юго-Западный административный округ,Гагаринский район,94,94,124
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1279»,Юго-Западный административный округ,район Зюзино,35,79,106
Общеобразовательная автономная некоммерческая организация «Школа права и экономики»,Юго-Западный административный округ,район Черёмушки,3,4,3
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1212»,Юго-Западный административный округ,район Ясенево,16,57,118
Частное общеобразовательное учреждение «Православный центр образования Святителя Николая Чудотворца»,Южный административный округ,район Бирюлёво Западное,0,3,11
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1450 «Олимп»,Южный административный округ,Нагорный район,21,66,119
Государственное казенное общеобразовательное учреждение города Москвы «Кадетская школа-интернат № 5 «Преображенский кадетский корпус»,Восточный административный округ,район Богородское,10,45,98
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 448»,Восточный административный округ,район Восточный,8,15,26
Частное учреждение средняя общеобразовательная школа «Кладезь»,Восточный административный округ,район Восточное Измайлово,4,5,8
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2093 им. А.Н. Савельева»,Восточный административный округ,район Новогиреево,13,32,48
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1200»,Восточный административный округ,район Новокосино,44,78,120
Государственное бюджетное общеобразовательное учреждение города Москвы «Московская международная школа»,Восточный административный округ,район Перово,65,91,97
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московское среднее специальное училище олимпийского резерва № 3 (техникум)» Департамента спорта и туризма города Москвы,Восточный административный округ,район Соколиная Гора,2,8,14
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1282 «Сокольники»,Восточный административный округ,район Сокольники,40,76,93
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1530 «Школа Ломоносова»,Восточный административный округ,район Сокольники,58,120,167
Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Московский центр качества образования»,Восточный административный округ,район Соколиная Гора,0,0,0
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1465 имени адмирала Н.Г. Кузнецова»,Западный административный округ,район Дорогомилово,7,24,48
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Западный комплекс непрерывного образования»,Западный административный округ,Можайский район,10,26,25
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1015»,Западный административный округ,район Ново-Переделкино,11,49,67
Автономная некоммерческая организация негосударственная общеобразовательная организация «Наши традиции»,Западный административный округ,район Раменки,3,3,6
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1329»,Западный административный округ,район Тропарёво-Никулино,110,149,222
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 854»,Зеленоградский административный округ,район Савёлки,5,27,33
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 717»,Северный административный округ,Войковский район,20,48,64
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1794»,Северный административный округ,район Восточное Дегунино,25,87,112
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1125 имени Я.Н. Федоренко»,Северный административный округ,район Западное Дегунино,7,23,34
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 158»,Северный административный округ,район Левобережный,5,18,44
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1601 имени Героя Советского Союза Е.К. Лютикова»,Северный административный округ,Савёловский район,14,59,60
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1287»,Северный административный округ,Хорошёвский район,54,104,66
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1539»,Северо-Восточный административный округ,Алексеевский район,43,98,105
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Многопрофильный комплекс Бибирево»,Северо-Восточный административный округ,район Бибирево,14,46,75
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 166»,Северо-Восточный административный округ,район Лианозово,12,41,51
