school,admarea,district,ege_good,ege_bad,oge_score
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 171»,Центральный административный округ,район Хамовники,117,210,195
Общеобразовательная автономная некоммерческая организация средняя общеобразовательная школа «Виктория-2000»,Центральный административный округ,район Хамовники,2,8,2
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1357 «На Братиславской»,Юго-Восточный административный округ,район Марьино,104,241,284
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1547»,Юго-Восточный административный округ,район Марьино,116,179,307
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 484 имени дважды Героя Советского Союза В.И.Попкова»,Юго-Восточный административный округ,район Текстильщики,3,14,20
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 687»,Юго-Восточный административный округ,район Текстильщики,13,39,41
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 45 имени Л.И. Мильграма»,Юго-Западный административный округ,Академический район,83,146,120
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1534»,Юго-Западный административный округ,Академический район,110,144,234
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1613»,Юго-Западный административный округ,район Северное Бутово,5,24,41
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2006»,Юго-Западный административный округ,район Северное Бутово,54,82,116
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 51»,Юго-Западный административный округ,район Тёплый Стан,6,20,24
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1354 «Вектор»,Юго-Западный административный округ,район Южное Бутово,48,112,130
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1980»,Юго-Западный административный округ,район Южное Бутово,24,80,155
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 902 «Диалог»,Южный административный округ,район Бирюлёво Восточное,26,77,128
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1828 «Сабурово»,Южный административный округ,район Москворечье-Сабурово,9,26,50
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2000»,Южный административный округ,район Москворечье-Сабурово,22,50,91
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1770»,Южный административный округ,район Нагатинский Затон,21,59,68
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 896»,Южный административный округ,район Орехово-Борисово Южное,5,28,39
Государственное бюджетное общеобразовательное учреждение города Москвы «Центр спорта и образования «Чертаново» Департамента спорта и туризма города Москвы,Южный административный округ,район Чертаново Северное,1,11,16
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 856»,Южный административный округ,район Чертаново Северное,5,25,20
Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный лингвистический университет»,Центральный административный округ,район Хамовники,80,92,114
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1363»,Юго-Восточный административный округ,район Выхино-Жулебино,71,155,270
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1905»,Юго-Восточный административный округ,район Выхино-Жулебино,27,46,54
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1208 имени Героя Советского Союза М.С. Шумилова»,Юго-Восточный административный округ,район Кузьминки,47,79,172
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2121 имени Маршала Советского Союза С.К. Куркоткина»,Юго-Восточный административный округ,район Люблино,19,71,130
Негосударственное частное учреждение общеобразовательная организация средняя общеобразовательная школа «Карьера»,Юго-Восточный административный округ,район Люблино,15,26,32
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1595»,Юго-Восточный административный округ,район Некрасовка,21,33,37
Общеобразовательное частное учреждение «Школа «Новое образование»,Юго-Восточный административный округ,Нижегородский район,2,3,1
Государственное автономное профессиональное образовательное учреждение города Москвы «Московский образовательный комплекс имени Виктора Талалихина»,Юго-Восточный административный округ,район Печатники,14,40,48
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1280»,Юго-Западный административный округ,Академический район,11,27,41
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 199»,Юго-Западный административный округ,Академический район,82,153,77
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1265»,Юго-Западный административный округ,Гагаринский район,22,34,36
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 118»,Юго-Западный административный округ,Ломоносовский район,17,66,76
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1945 «Синяя птица»,Юго-Западный административный округ,район Северное Бутово,22,37,40
Частное учреждение общеобразовательная организация «Солнечный ветер»,Юго-Западный административный округ,район Тёплый Стан,7,13,19
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1103 имени Героя Российской Федерации А.В. Соломатина»,Юго-Западный административный округ,район Ясенево,18,64,89
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 933»,Южный административный округ,район Бирюлёво Западное,7,23,62
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Киноколледж № 40 «Московская международная киношкола»,Южный административный округ,Донской район,1,4,21
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 492»,Южный административный округ,район Нагатинский Затон,14,35,30
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 556»,Южный административный округ,район Чертаново Центральное,21,44,65
Государственное бюджетное общеобразовательное учреждение города Москвы «Вешняковская школа № 1389»,Восточный административный округ,район Вешняки,17,39,61
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 319»,Восточный административный округ,район Гольяново,9,52,78
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 922»,Восточный административный округ,район Ивановское,20,60,74
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1290»,Восточный административный округ,район Восточное Измайлово,53,95,120
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2031»,Восточный административный округ,район Косино-Ухтомский,41,102,120
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 423»,Восточный административный округ,район Перово,13,36,41
Общеобразовательное частное учреждение Международная гимназия Сколково,Западный административный округ,Можайский район,2,5,12
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 814»,Западный административный округ,район Очаково-Матвеевское,56,122,130
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1541»,Западный административный округ,район Проспект Вернадского,41,53,66
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 38»,Западный административный округ,район Раменки,22,57,20
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1317»,Западный административный округ,район Тропарёво-Никулино,39,51,72
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 842»,Зеленоградский административный округ,район Матушкино,9,34,36
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 719»,Зеленоградский административный округ,район Старое Крюково,11,32,38
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1570»,Северный административный округ,район Беговой,19,42,36
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1250»,Северный административный округ,Войковский район,32,47,54
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 727»,Северный административный округ,Головинский район,3,26,49
Частное учреждение общеобразовательная организация средняя школа «Знайка»,Северный административный округ,район Коптево,15,32,9
Государственное казенное общеобразовательное учреждение города Москвы «Кадетская школа-интернат № 1 «Первый Московский кадетский корпус»,Северный административный округ,Тимирязевский район,19,58,111
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1503»,Северо-Восточный административный округ,Алексеевский район,46,66,88
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа-интернат № 1 для обучения и реабилитации слепых» Департамента труда и социальной защиты населения города Москвы,Северо-Восточный административный округ,Алексеевский район,4,6,2
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1370»,Северо-Восточный административный округ,Алтуфьевский район,42,104,133
Федеральное государственное казенное образовательное учреждение «Московское суворовское военное училище Министерства обороны Российской федерации»,Северо-Восточный административный округ,Бабушкинский район,17,66,73
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1412»,Северо-Восточный административный округ,район Бибирево,41,91,104
Общеобразовательное частное учреждение «Финансово-экономическая школа»,Северо-Восточный административный округ,Бутырский район,3,5,5
Государственное автономное общеобразовательное учреждение города Москвы «Школа № 1518»,Северо-Восточный административный округ,Останкинский район,79,83,98
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж современных технологий имени Героя Советского Союза М.Ф. Панова»,Северо-Восточный административный округ,Ярославский район,1,2,0
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1544»,Северо-Западный административный округ,район Митино,35,60,67
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 830»,Северо-Западный административный округ,район Покровское-Стрешнево,24,55,43
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1515»,Северо-Западный административный округ,район Хорошёво-Мнёвники,32,64,77
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1210»,Северо-Западный административный округ,район Щукино,32,63,103
Муниципальное автономное общеобразовательное учреждение «Гимназия имени Н.В. Пушкова»,Троицкий административный округ,поселение Троицк,34,53,66
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1522 имени В.И. Чуркина»,Северо-Западный административный округ,район Хорошёво-Мнёвники,38,55,75
Общеобразовательное частное учреждение Лингвистическая школа,Центральный административный округ,Красносельский район,8,16,16
Общеобразовательное частное учреждение «Школа Сотрудничества»,Центральный административный округ,Таганский район,19,23,23
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1359 имени авиаконструктора М.Л. Миля»,Юго-Восточный административный округ,район Выхино-Жулебино,82,150,193
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1877 «Люблино»,Юго-Восточный административный округ,район Люблино,4,14,27
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2090 имени Героя Советского Союза Л.Х. Паперника»,Юго-Восточный административный округ,Рязанский район,26,75,94
Государственное бюджетное общеобразовательное учреждение города Москвы «Кадетская школа-интернат № 9 «Московский пансион государственных воспитанниц»,Юго-Восточный административный округ,район Текстильщики,6,31,23
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 654 имени А.Д. Фридмана»,Юго-Восточный административный округ,район Текстильщики,78,120,172
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 170 имени А.П.Чехова»,Юго-Западный административный округ,район Коньково,25,68,114
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 109»,Юго-Западный административный округ,район Тёплый Стан,53,89,114
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1368»,Юго-Западный административный округ,район Южное Бутово,26,51,74
Государственное бюджетное общеобразовательное учреждение города Москвы реабилитационная школа-интернат № 32 Департамента труда и социальной защиты населения города Москвы,Юго-Западный административный округ,район Южное Бутово,0,2,3
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 947»,Южный административный округ,район Бирюлёво Восточное,21,77,127
Частное учреждение общеобразовательная организация школа «Выбор»,Южный административный округ,Нагорный район,9,10,9
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 996»,Южный административный округ,район Орехово-Борисово Северное,8,25,33
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1207»,Южный административный округ,район Орехово-Борисово Южное,38,65,76
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 544»,Южный административный округ,район Орехово-Борисово Южное,24,66,95
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1245»,Южный административный округ,район Чертаново Южное,39,84,136
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 924»,Южный административный округ,район Чертаново Южное,18,50,93
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2117»,Новомосковский административный округ,поселение Щербинка,8,35,62
Образовательное частное учреждение «Общеобразовательная организация «Школа «Современное образование»,Центральный административный округ,Красносельский район,2,7,6
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2107»,Центральный административный округ,Мещанский район,63,113,117
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2030»,Центральный административный округ,Пресненский район,59,108,73
Частное общеобразовательное учреждение «Частная школа «Золотое сечение»,Центральный административный округ,район Хамовники,13,23,25
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1321 «Ковчег»,Юго-Восточный административный округ,район Лефортово,7,18,16
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2051»,Юго-Восточный административный округ,район Некрасовка,20,57,78
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Спектр»,Юго-Восточный административный округ,район Печатники,8,20,40
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2088 «Грайвороново»,Юго-Восточный административный округ,район Текстильщики,12,39,29
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 192»,Юго-Западный административный округ,Гагаринский район,77,124,117
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1995»,Юго-Западный административный округ,Обручевский район,26,54,66
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа-интернат № 17»,Юго-Западный административный округ,Обручевский район,0,0,3
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1101»,Юго-Западный административный округ,район Тёплый Стан,29,69,102
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1065»,Юго-Западный административный округ,район Южное Бутово,11,29,41
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2009»,Юго-Западный административный округ,район Южное Бутово,60,136,165
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2103»,Юго-Западный административный округ,район Ясенево,27,70,90
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1861 «Загорье»,Южный административный округ,район Бирюлёво Восточное,39,75,106
Автономная некоммерческая организация средняя общеобразовательная школа «Центр образования «Вступление»,Южный административный округ,район Братеево,2,6,2
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 494 имени Героя Российской Федерации А.Н. Рожкова»,Южный административный округ,Даниловский район,8,30,61
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 547»,Южный административный округ,Даниловский район,5,15,44
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 630 имени дважды Героя Советского Союза Г.П. Кравченко»,Южный административный округ,Донской район,41,115,155
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Образовательный комплекс градостроительства «Столица»,Южный административный округ,Донской район,1,6,18
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 534»,Южный административный округ,район Зябликово,13,39,70
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1811 «Восточное Измайлово»,Восточный административный округ,район Восточное Измайлово,47,139,212
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2127»,Восточный административный округ,район Новокосино,33,87,148
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 356 имени Н.З. Коляды»,Восточный административный округ,район Северное Измайлово,12,28,40
Государственное казенное общеобразовательное учреждение города Москвы «Школа «Технологии обучения»,Западный административный округ,район Дорогомилово,4,15,13
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1467»,Западный административный округ,район Ново-Переделкино,18,45,77
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 41 имени Григория Алексеевича Тарана»,Западный административный округ,район Внуково,25,64,77
Автономная некоммерческая образовательная организация средняя общеобразовательная школа «Колледж - XXI»,Западный административный округ,район Солнцево,9,15,11
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1739»,Зеленоградский административный округ,район Крюково,16,28,75
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 656 имени А.С. Макаренко»,Северный административный округ,Бескудниковский район,19,47,71
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1678 «Восточное Дегунино»,Северный административный округ,район Восточное Дегунино,9,30,18
Общеобразовательная Aвтономная некоммерческая организация «Образовательный центр «Лучик»,Северный административный округ,Тимирязевский район,4,9,10
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московское среднее специальное училище олимпийского резерва № 4 им. А.Я. Гомельского (техникум)» Департамента спорта и туризма города Москвы,Северо-Восточный административный округ,район Бибирево,2,6,20
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1381»,Северо-Восточный административный округ,Лосиноостровский район,13,63,74
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1568 имени Пабло Неруды»,Северо-Восточный административный округ,район Южное Медведково,114,141,191
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 285 имени В.А. Молодцова»,Северо-Восточный административный округ,район Южное Медведково,18,57,105
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1285»,Северо-Западный административный округ,район Покровское-Стрешнево,32,68,122
Государственное бюджетное общеобразовательное учреждение города Москвы «Курчатовская школа»,Северо-Западный административный округ,район Щукино,121,176,169
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1056»,Северо-Западный административный округ,район Южное Тушино,15,49,60
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2120»,Новомосковский административный округ,поселение Московский,29,92,138
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2070»,Новомосковский административный округ,поселение Сосенское,40,129,202
Муниципальное автономное общеобразовательное учреждение «Гимназия г. Троицка»,Троицкий административный округ,поселение Троицк,50,113,155
Муниципальное автономное общеобразовательное учреждение «Лицей города Троицка»,Троицкий административный округ,поселение Троицк,61,118,160
Негосударственное общеобразовательное учреждение «Свято-Владимирская Православная школа»,Центральный административный округ,Басманный район,1,5,10
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 518»,Центральный административный округ,район Замоскворечье,25,45,29
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1793 имени Героя Советского Союза А.К. Новикова»,Юго-Восточный административный округ,район Выхино-Жулебино,44,90,142
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Содружество»,Юго-Восточный административный округ,район Лефортово,19,55,58
Государственное бюджетное общеобразовательное учреждение города Москвы школа № 1959 «Дети мира»,Юго-Восточный административный округ,район Марьино,23,47,49
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1987»,Юго-Восточный административный округ,район Марьино,10,52,63
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 777 имени Героя Советского Союза Е.В. Михайлова»,Юго-Восточный административный округ,Рязанский район,12,42,66
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа имени В.В. Маяковского»,Юго-Восточный административный округ,Южнопортовый район,36,87,113
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2086»,Юго-Западный административный округ,Гагаринский район,122,192,156
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 626 имени Н.И. Сац»,Юго-Западный административный округ,район Котловка,21,64,56
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 46»,Юго-Западный административный округ,Обручевский район,31,50,57
Государственное бюджетное общеобразовательное учреждение города Москвы «Центр спорта и образования «Самбо-70» Департамента спорта и туризма города Москвы,Юго-Западный административный округ,район Тёплый Стан,13,56,77
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1948 «Лингвист-М»,Юго-Западный административный округ,район Черёмушки,43,85,93
Общеобразовательное частное учреждение «Газпром школа»,Юго-Западный административный округ,район Черёмушки,37,47,53
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1161»,Юго-Западный административный округ,район Южное Бутово,7,35,36
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1242»,Южный административный округ,район Бирюлёво Западное,17,38,56
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1375»,Южный административный округ,район Нагатино-Садовники,45,113,120
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 514»,Южный административный округ,район Нагатинский Затон,8,25,29
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1862»,Южный административный округ,Нагорный район,72,124,136
